6.7, 3, 5.2, 2.3, 1
6.6, 3, 4.4, 1.4, 0
5.5, 2.5, 4, 1.3, 0
6.1, 2.8, 4.7, 1.2, 0
4.9, 3.1, 1.5, 0.2, 0
5.6, 3, 4.1, 1.3, 0
6.7, 3.1, 4.4, 1.4, 0
6.9, 3.1, 5.1, 2.3, 1
5.7, 2.9, 4.2, 1.3, 0
6, 3.4, 4.5, 1.6, 0
5, 3.5, 1.6, 0.6, 0
5.2, 4.1, 1.5, 0.1, 0
6.9, 3.1, 4.9, 1.5, 0
5.5, 2.4, 3.8, 1.1, 0
6.4, 2.8, 5.6, 2.2, 1
5.4, 3.4, 1.5, 0.4, 0
5.5, 2.6, 4.4, 1.2, 0
6, 2.2, 5, 1.5, 1
5.7, 2.6, 3.5, 1, 0
6.3, 2.3, 4.4, 1.3, 0
4.8, 3.1, 1.6, 0.2, 0
6.2, 2.2, 4.5, 1.5, 0
5, 3.3, 1.4, 0.2, 0
5, 3.4, 1.5, 0.2, 0
5.1, 3.3, 1.7, 0.5, 0
6.3, 2.5, 5, 1.9, 1
6.3, 2.9, 5.6, 1.8, 1
5.4, 3.9, 1.3, 0.4, 0
6.1, 2.9, 4.7, 1.4, 0
4.3, 3, 1.1, 0.1, 0
6.3, 3.3, 4.7, 1.6, 0
5.2, 3.4, 1.4, 0.2, 0
4.9, 3.1, 1.5, 0.1, 0
6, 3, 4.8, 1.8, 1
5.8, 2.8, 5.1, 2.4, 1
7.7, 3, 6.1, 2.3, 1
6.5, 3, 5.2, 2, 1
6.9, 3.1, 5.4, 2.1, 1
5.9, 3, 5.1, 1.8, 1
7, 3.2, 4.7, 1.4, 0
7.9, 3.8, 6.4, 2, 1
5.1, 3.4, 1.5, 0.2, 0
6.4, 3.1, 5.5, 1.8, 1
6.4, 3.2, 4.5, 1.5, 0
5.4, 3.7, 1.5, 0.2, 0
6.8, 2.8, 4.8, 1.4, 0
6.4, 2.8, 5.6, 2.1, 1
5.2, 2.7, 3.9, 1.4, 0
6.5, 3, 5.5, 1.8, 1
5, 2, 3.5, 1, 0
